State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KS,373664,364020,373666,367759,391306,440802,481093,446454,490591,540660,574542,605775,626853,597207,578795,490748,505408,497279,507973,571266,481990,422564,400519,345858,360762,354756,307990,343155,347982,338559,352645,373151,338755,386513,415552,367750,360921,338569,325041,302023,314868,273862,307432,284722,260117,258695,269274,291695,292523,292425,280413,285318,268086,288274,291483,280421,276404,279095,321378
KY,153807,156328,163826,173508,179666,176734,152219,197083,201137,240050,252265,248514,259546,250136,231423,209199,248673,221936,215021,220854,204104,202237,191175,177792,193419,177685,173525,178271,190890,195872,191707,196253,200904,213069,221322,245578,248057,239332,212108,225393,234181,216707,236125,231486,233361,240869,217169,236003,233180,214279,239062,229056,232702,235733,262332,276919,280002,296726,356577
LA,1003771,1064610,1050301,1128773,1201445,1156449,1245597,1440390,1539750,1784110,1894224,1938558,1996015,2072164,2068614,1854766,2121366,2274100,2349710,2051384,1862179,1847639,1629186,1472328,1661309,1441820,1496106,1560707,1506424,1622888,1654692,1596766,1619499,1637028,1649015,1737257,1687569,1857072,1679040,1558295,1625863,1347228,1475464,1353179,1393140,1367497,1346690,1430621,1369823,1315265,1483203,1536148,1586437,1505540,1547706,1594698,1718751,1720323,1860683
MA,80612,84630,92131,99924,108193,115712,117709,129884,133913,138632,149074,158329,162204,157258,156666,154583,157185,161465,161964,157883,185508,187528,199790,196611,215021,224794,191195,233398,217305,260989,273910,283833,344458,350626,381289,391646,387390,411555,367109,361351,357743,364114,404597,415303,383708,386385,378078,418922,415260,408519,447429,464018,430921,435314,432634,457217,440784,462467,452710
MD,73315,76520,84796,89004,94255,100979,102826,121287,129702,147720,159584,164689,180283,177629,175541,141854,149642,135168,139642,179631,163449,177743,160833,148687,163124,155966,158032,174283,178433,199615,180591,183035,190092,186992,192016,199202,201735,219192,195540,203040,219360,184976,203538,204511,201929,212230,189221,208693,202931,203780,217744,199223,216678,206238,218079,226832,230194,233353,313428
ME,0,0,0,0,0,0,522,775,819,1139,1315,1475,1554,1657,1635,1976,2083,2047,2166,2162,2322,2384,2758,2487,2528,2620,2549,2747,3283,3930,4572,5001,5333,5191,5268,5635,5883,6501,5813,6690,48047,101190,126280,73523,89581,64818,67557,67227,74494,73569,80988,75061,70451,65886,62423,54203,54509,45125,48370
MI,382980,422582,459179,470503,505780,563563,626782,699131,711046,788222,821261,863320,877742,929555,942595,894795,895140,745743,793936,880367,874654,814488,764600,713170,730312,719871,689448,671201,765708,799774,898848,905265,979182,937967,930970,992718,1039190,1010167,893988,968282,984345,928651,984715,950714,938628,927535,816993,814887,797534,750783,758696,787337,804084,831741,878128,871834,926828,908204,1010794
MN,186121,199324,221625,218609,236502,248244,265810,285350,315017,328944,343007,352144,352111,360450,351995,331518,319516,292501,312196,332631,284988,264951,263349,246315,256405,258510,244528,239751,285827,301686,291828,318250,312218,331590,327384,357690,375019,360439,337128,351143,367461,345002,374184,374231,362418,372239,358211,395714,435134,405564,427198,424978,430286,478634,490179,448567,466425,466889,514503
MO,270074,284094,299614,309136,332023,347967,357396,367195,372856,406671,432532,432108,428192,424673,411933,371837,381399,367704,360269,340138,322908,287767,284479,265541,269458,264318,244318,234493,254440,254547,241335,258636,241227,280680,268135,281059,297208,286117,261504,269262,289044,288617,278936,266204,269224,273401,258004,277987,298427,266721,282141,275308,258945,281399,301543,270885,273583,264611,329827
MS,187874,190591,199391,222937,250528,250626,284500,288650,319377,333993,369391,387779,387436,321528,283104,235345,203702,202631,208038,260547,270909,249062,276666,244281,276617,233010,220195,212336,216397,232394,261921,257004,250696,235310,266219,295377,277468,264210,252445,317777,312078,340904,354550,275147,290512,310713,315909,374990,364237,371245,444875,437873,499946,426902,439557,536996,561342,543533,591361
