State,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Georgia (State),16.27,17.406,16.814,16.882,17.223,17.382,17.713,17.834,17.642,17.052,18.523,17.071,17.662,17.178,17.48,17.676,16.78,17.65,18.002,16.9,18.602,18.362,17.66,16.885,18.324,17.358,18.573,17.156,17.7,17.352,18.114,18.325,18.579,17.712,17.848,17.914,17.642,18.228,18.222,16.728,17.925,17.49,17.633,17.771,18.091,18.308,17.451,18.084,18.458,17.815,17.998,18.072,18.136,18.284,17.912,18.065,18.267,16.983,17.945,17.116,17.452,17.715,17.049,17.454,17.776,17.013,17.4,16.939,16.978,17.601,17.88,17.976,17.94,18.154,18.082,16.868,17.626,17.425,17.261,17.659,17.287,18.175,17.065,17.845,18.108,18.746,17.788,17.316,17.769,19.144,18.512,17.515,17.774,18.017,17.98,17.486,17.807,19.158,18.503,17.921,18.229,18.524,17.965,18.273,18.174,18.602,18.752,18.05,18.035,17.762,18.724,19.091,19.358
Hawaii,22.214,21.84,21.607,22.024,22.042,22.346,22.268,21.781,21.677,21.614,21.864,22.021,22.253,21.983,22.221,22.053,22.188,22.071,22.147,22.222,22.196,22.102,22.102,22.034,22.131,22.444,22.467,22.311,22.611,22.472,22.353,22.156,21.7,22.619,22.388,22.277,22.234,22.667,22.096,22.995,22.561,22.6,22.669,22.292,22.711,22.482,22.411,22.29,21.927,22.373,22.599,22.031,22.32,22.501,21.638,22.25,22.249,22.139,22.612,22.486,22.578,22.363,22.646,22.428,22.269,22.518,22.836,23.203,22.44,22.46,22.201,22.227,22.218,22.766,21.992,22.139,22.852,22.848,22.688,23.028,23.045,22.738,22.504,23.138,22.594,23.467,22.992,23.315,22.867,22.992,23.027,23.177,22.76,23.043,23.19,23.383,23.173,22.571,22.557,22.942,23.064,23.106,23.261,23.435,23.255,23.034,23.001,22.753,22.82,22.762,22.853,22.652,22.522
Idaho,5.919,5.175,4.677,5.842,5.26,5.532,5.412,5.123,5.117,5.934,4.363,4.533,4.581,5.652,5.732,4.101,4.938,5.682,5.135,4.943,5.817,4.501,5.016,5.01,6.247,6.349,5.18,5.4,4.607,5.058,5.663,4.664,5.505,7.877,5.158,5.727,5.193,5.955,6.37,6.847,6.136,5.021,5.536,5.034,5.397,5.604,5.864,4.845,5.106,5.331,4.855,5.201,6.476,5.918,4.345,5.302,5.275,6.631,5.606,5.452,6.129,5.521,6.082,4.547,5.491,6.015,6.132,5.44,5.611,5.52,5.14,5.339,5.727,5.91,4.829,5.454,5.856,5.434,5.471,5.915,6.589,4.696,5.688,4.559,3.948,6.291,6.468,6.338,5.556,5.931,5.815,6.753,4.488,6.423,6.026,5.739,5.815,6.432,6.087,6.239,6.429,5.776,7.068,6.387,6.063,6.432,6.739,5.509,5.664,5.92,5.426,6.956,8.539
Illinois,10.733,10.617,10.306,9.591,10.352,10.99,10.468,11.512,10.742,10.72,11.71,9.866,11.739,11.273,10.703,10.792,9.213,10.93,11.331,10.604,12.963,11.833,11.117,9.74,11.136,10.38,11.28,10.958,10.084,11.573,12.886,11.287,12.132,11.918,10.826,11.168,10.514,12.414,12.013,10.459,12.112,11.175,10.745,11.514,10.638,12.297,10.931,11.16,11.752,10.211,10.241,11.762,12.349,12.349,11.659,11.763,11.347,10.403,11.336,10.523,10.952,10.828,10.743,11.728,11.399,10.677,10.689,11.016,10.616,11.053,11.565,10.547,12.073,11.251,11.5,10.628,11.241,10.148,10.057,11.111,11.38,10.75,11.44,11.346,10.681,11.846,12.557,11.47,10.505,12.295,12.362,11.374,10.791,11.409,11.204,10.387,10.899,13.23,12.334,11.583,12.222,12.111,11.293,11.761,12.354,12.577,12.372,10.842,11.13,12.002,12.112,13.524,13.009
Indiana,10.396,10.676,10.298,9.511,10.382,11.068,10.268,11.558,10.764,10.586,11.693,9.883,11.776,11.093,10.701,10.834,9.145,10.902,11.46,10.454,12.951,11.883,11.093,9.778,11.17,10.328,11.403,10.707,10.256,11.473,12.677,11.384,12.087,11.608,10.868,11.118,10.579,12.231,11.872,10.358,11.954,11.169,10.76,11.578,10.754,12.244,10.754,11.206,12.057,10.393,10.594,11.8,12.298,12.177,11.654,11.652,11.368,10.219,11.601,10.558,10.981,10.802,10.371,11.609,11.389,10.62,10.68,10.933,10.634,11.11,11.444,10.633,12.132,11.232,11.604,10.505,11.134,10.052,10.124,10.839,10.997,10.916,11.522,11.266,11.08,11.841,12.321,11.289,10.58,12.316,12.519,11.206,10.941,11.348,11.277,10.535,10.813,13.243,12.305,11.416,12.265,12.251,11.152,11.773,12.113,12.419,12.359,11.1,11.208,11.991,12.175,13.319,13.058
Iowa,9.069,8.362,8.094,7.623,8.156,8.834,8.238,9.337,8.237,8.96,9.395,7.653,9.523,9.241,8.473,8.184,6.859,9.221,8.874,8.638,10.794,9.655,9.061,7.493,8.844,8.591,8.855,9.218,7.558,9.62,11.308,8.558,9.93,10.327,8.76,8.71,8.217,10.265,10.239,8.459,10.223,9.05,8.479,9.316,8.444,10.081,9.081,9.208,9.383,7.663,7.416,9.341,10.068,10.138,9.397,9.5,9.179,8.82,8.832,8.38,8.732,8.597,9.268,9.683,8.71,8.545,8.689,9.22,8.366,8.863,9.137,8.088,9.863,9.229,9.092,9.09,9.626,7.934,7.801,9.422,9.956,8.349,9.186,9.263,8.241,9.716,11.126,9.799,8.602,10.229,9.804,9.372,8.163,9.166,9.048,7.876,8.998,11.054,10.417,9.81,10.064,10.084,9.453,9.748,10.375,10.798,10.01,8.356,8.797,9.645,9.723,11.742,11.112
Kansas,12.486,11.845,11.329,11.847,11.453,11.895,12.204,12.648,11.918,12.775,12.841,11.053,12.441,12.709,11.482,11.787,11.263,12.392,11.679,11.929,13.731,12.714,12.235,11.182,12.686,12.401,12.263,12.355,11.333,12.573,13.593,12.066,13.777,14.22,12.717,12.925,12.031,13.767,13.725,12.034,12.898,12.256,12.548,12.32,12.072,13.777,12.431,12.13,12.107,11.878,11.274,12.792,13.637,14.18,12.71,13.45,12.237,12.003,12.226,11.707,11.705,12.625,13.46,12.888,12.663,12.155,12.374,12.182,12.023,12.485,12.402,12.029,12.457,12.695,12.319,12.602,13.315,11.747,11.52,13.061,13.384,11.914,12.028,12.441,11.645,13.672,13.293,12.873,12.017,13.317,13.42,12.574,11.372,13.01,12.475,11.978,12.328,13.786,13.614,13.344,13.536,13.167,13.075,13.068,13.519,14.071,13.084,12.263,12.294,13.231,13.196,14.837,14.635
Kentucky,12.084,12.691,12.392,12.03,12.474,13.006,12.654,13.49,12.98,12.354,13.864,11.989,13.763,12.998,12.873,12.906,11.383,12.965,13.589,12.419,14.714,13.915,13.216,12.03,13.507,12.647,13.603,12.623,12.696,13.459,14.246,13.549,14.032,13.537,13.094,13.384,12.79,14.119,13.822,12.178,13.755,13.121,13.058,13.5,13.087,14.096,12.732,13.285,14.031,12.766,12.991,13.855,14.187,14.111,13.611,13.705,13.723,12.087,13.622,12.431,12.866,12.978,12.41,13.469,13.473,12.471,12.793,12.628,12.581,13.2,13.425,13.015,13.895,13.404,13.601,12.289,13.066,12.259,12.284,12.945,12.836,13.288,13.18,13.304,13.132,14.014,14.008,13.032,12.742,14.348,14.415,13.153,13.086,13.336,13.299,12.743,12.877,14.898,14.328,13.48,14.019,14.203,13.301,13.884,14.096,14.111,14.568,13.284,13.326,13.704,14.215,15.028,14.94
Louisiana,18.293,18.996,17.948,18.826,18.507,18.862,19.537,19.4,19.328,18.983,20.154,18.262,18.742,18.62,18.794,19.138,18.154,19.153,19.184,18.643,20.341,19.783,19.08,18.657,19.572,18.946,20.268,18.798,18.952,19.023,19.315,19.406,20.371,19.628,19.54,19.105,19.063,19.797,19.748,18.203,19.376,18.896,19.238,19.596,19.531,19.777,19.027,19.393,19.858,19.563,19.638,19.3,19.745,19.992,19.636,19.782,19.766,18.602,19.057,18.686,18.705,19.472,19.125,19.228,19.659,18.711,19.09,18.332,19.019,18.898,19.536,19.513,19.375,19.552,19.29,18.331,19.309,18.79,18.454,19.309,19.328,19.594,18.352,19.375,19.392,19.925,19.217,19.006,18.87,20.166,19.668,19.109,18.959,19.469,19.66,19.302,19.221,20.643,20.252,19.913,19.625,19.666,19.514,19.885,20.077,20.228,20.021,19.621,19.735,19.478,20.21,20.766,20.963
Maine,4.708,4.723,4.59,3.017,3.785,4.465,3.538,4.691,4.544,4.872,4.553,3.917,5.317,3.593,5.297,4.45,3.132,3.95,4.703,4.439,5.37,4.548,3.754,4.104,4.263,3.318,5.04,4.523,4.403,5.2,5.912,5.251,4.595,4.016,4.209,4.36,5.746,5.291,4.279,4.112,4.992,5.117,4.024,5.009,5.031,5.159,5.159,4.712,5.949,4.978,5.458,5.787,6.455,5.002,4.95,4.338,5.267,4.504,5.047,5.361,5.075,4.177,4.454,4.776,4.291,5.301,4.378,4.598,5.246,4.714,4.713,3.897,5.874,4.485,5.147,4.417,4.931,4.252,5.613,4.344,5.572,4.568,5.746,5.37,4.561,4.629,5.166,5.084,4.225,5.939,5.567,4.463,4.6,4.88,5.187,5.155,4.569,6.562,6.748,5.211,6.133,5.63,4.913,4.84,5.657,6.803,5.081,5.562,5.166,7.181,6.226,6.814,7.505
