State,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Maryland,11.553,11.965,11.804,10.662,11.682,12.535,11.185,12.3,12.14,12.047,12.734,11.772,13.166,11.809,12.14,11.87,10.804,12.052,12.577,11.635,13.567,12.671,12.334,11.346,12.397,11.52,12.357,12.135,12.396,12.778,13.394,12.989,12.901,12.217,12.028,12.259,12.446,13.004,12.999,11.261,12.749,12.63,12.415,12.475,12.592,13.089,12.267,12.438,13.609,12.297,12.641,12.887,13.504,12.898,12.654,12.551,12.972,11.534,13.243,12.003,12.34,11.811,11.762,12.519,12.348,12.008,11.792,12.299,12.121,12.48,12.674,12.164,13.215,12.768,12.945,12.084,12.579,11.767,12.131,12.382,12.142,12.394,12.677,12.659,13.006,12.89,12.875,12.267,12.234,13.938,13.913,12.226,12.633,12.705,12.744,12.092,12.564,14.176,13.406,12.513,13.183,13.726,12.357,12.989,12.995,13.737,13.331,13.065,12.712,13.381,13.792,14.189,14.268
Massachusetts,7.565,7.737,7.622,6.15,7.113,7.891,6.782,8.126,7.71,7.887,7.987,7.428,8.833,7.174,8.212,7.311,6.329,7.453,8.163,7.439,8.787,7.975,7.349,7.171,7.96,6.675,8.252,8.078,7.972,8.502,9.013,8.472,8.181,7.56,7.594,7.863,8.553,8.648,7.851,6.957,8.424,8.276,7.514,8.152,8.225,8.551,8.224,7.958,9.563,8.12,8.582,8.866,9.588,8.407,8.449,7.748,8.775,7.489,8.66,8.094,8.201,7.394,7.737,8.027,7.746,8.03,7.59,7.831,8.232,7.96,8.094,7.486,9.201,8.134,8.63,7.828,8.165,7.376,8.558,7.825,8.267,7.89,8.812,8.582,8.18,8.135,8.238,8.186,7.807,9.448,9.345,7.674,8.104,8.261,8.409,8.168,8.164,9.848,9.567,8.287,9.196,9.3,8.068,8.336,8.812,9.739,8.638,8.848,8.377,9.827,9.42,10.316,10.526
Michigan,6.479,6.782,6.263,4.854,6.088,7.084,5.523,7.174,6.589,6.81,7.226,5.434,7.167,6.553,6.627,6.279,4.427,6.387,7.249,6.332,8.632,7.261,6.353,5.432,6.448,5.486,6.885,6.623,5.878,7.295,8.915,7.265,7.291,6.747,6.455,6.24,6.775,7.785,7.314,6.293,7.909,7.108,6.184,7.464,6.594,7.698,6.908,7.011,7.909,5.938,6.399,7.622,8.195,7.252,7.786,6.836,6.936,6.564,7.003,6.738,7.224,6.531,6.486,7.456,6.541,6.748,6.347,7.122,6.795,6.866,7.046,5.825,7.997,6.69,7.407,6.316,7.083,6.19,6.176,6.448,7.115,6.61,7.499,7.264,6.784,7.329,8.647,7.345,6.299,7.981,8.075,6.697,6.653,6.99,7.165,6.229,6.814,9.387,8.352,7.58,8.524,7.955,6.963,7.267,8.096,8.637,8.096,7.026,6.868,8.664,7.833,9.346,8.731
Minnesota,4.852,4.785,3.698,3.292,4.342,4.852,3.42,5.394,4.164,5.312,4.668,3.76,4.9,4.823,5.01,3.423,2.601,5.037,4.58,4.745,6.233,5.352,5.062,3.582,4.724,4.225,4.095,5.174,3.555,5.552,7.657,4.653,5.138,5.647,4.565,3.747,4.084,5.794,5.693,4.78,6.199,5.326,4.392,5.755,4.313,5.284,4.844,5.004,5.283,2.925,3.36,5.573,5.936,5.419,4.957,4.674,4.941,5.236,4.958,4.793,5.463,4.752,5.567,5.337,3.952,4.146,4.311,5.212,4.632,4.423,4.698,3.558,6.093,4.928,4.934,5.125,5.476,4.288,3.598,5.211,6.233,4.261,5.569,5.551,4.13,5.655,7.725,5.677,4.346,6.183,5.807,5.317,4.243,5.278,4.98,3.467,5.102,7.432,6.781,5.71,6.377,5.822,5.586,5.403,6.387,7.096,5.994,4.368,4.767,6.282,5.835,7.554,6.845
Mississippi,16.706,17.501,16.63,17.227,17.008,17.378,17.911,17.987,17.822,17.344,18.694,16.764,17.593,17.295,17.401,17.547,16.592,17.738,17.788,17.044,18.963,18.384,17.515,17.063,18.323,17.453,18.788,17.264,17.468,17.619,17.941,17.944,18.793,18.067,17.881,17.759,17.634,18.52,18.251,16.57,17.998,17.508,17.894,18.056,17.969,18.26,17.422,17.782,18.398,17.832,18.144,17.992,18.328,18.603,18.085,18.245,18.205,16.842,17.709,17.058,17.207,17.92,17.44,17.73,18.111,17.24,17.475,16.88,17.306,17.485,17.943,17.994,18.066,17.964,17.847,16.839,17.866,17.243,16.936,17.748,17.755,18.124,16.982,17.878,17.773,18.519,17.96,17.513,17.371,18.853,18.435,17.608,17.515,17.997,18.034,17.678,17.663,19.275,18.828,18.429,18.162,18.352,17.949,18.332,18.477,18.774,18.851,17.981,18.132,18.076,18.59,19.268,19.444
Missouri,12.563,11.897,11.604,11.45,11.594,12.097,12.278,12.877,12.413,12.238,13.299,11.304,13.047,12.757,12.086,12.286,10.958,12.634,12.564,12.065,14.213,13.206,12.635,11.333,12.803,12.148,12.758,12.518,11.572,12.923,14.09,12.727,13.676,13.727,12.376,12.981,11.932,14.075,13.618,11.711,13.499,12.567,12.332,12.784,12.123,13.864,12.56,12.464,12.819,11.801,11.676,13.091,13.884,14.162,13.01,13.416,12.733,11.929,12.619,11.955,12.066,12.487,12.788,13.121,13.018,12.135,12.33,12.154,12.154,12.536,12.951,12.32,13.174,12.75,12.843,12.281,12.958,11.681,11.402,13.027,13.007,12.226,12.497,12.752,11.953,13.538,13.795,12.874,12.024,13.804,13.715,12.86,11.963,12.909,12.638,11.925,12.394,14.311,13.866,13.197,13.577,13.361,12.884,13.109,13.792,14.111,13.76,12.263,12.562,13.259,13.497,15.087,14.411
Montana,5.653,4.565,4.54,5.108,4.838,5.282,4.158,5.311,4.142,5.966,3.906,4.27,4.468,5.356,5.249,3.053,3.964,5.251,4.796,4.826,5.825,4.207,5.289,4.325,5.818,6.015,3.905,5.333,4.013,5.509,6.687,4.843,5.663,7.327,4.967,5.117,4.662,5.883,6.406,5.938,6.148,5.154,5.137,5.327,4.916,5.71,5.317,4.928,4.727,3.752,3.288,5.339,6.674,5.562,4.006,5.3,5.12,6.145,4.852,5.333,6.22,5.526,6.193,4.948,4.554,5.25,5.507,5.083,4.645,4.879,4.898,4.478,5.76,5.98,4.315,6.165,5.59,4.08,4.786,5.824,6.834,4.07,5.642,5.511,4.167,6.273,7.129,6.804,4.983,6.092,6.179,6.476,4.394,6.051,5.522,4.122,5.806,6.697,6.799,5.836,6.581,5.325,6.418,6.108,6.199,6.911,6.727,5.283,5.145,5.427,5.4,6.999,8.458
Nebraska,9.467,8.61,8.245,8.787,8.29,8.824,8.666,9.419,8.322,9.706,9.357,7.968,9.179,9.516,8.221,8.307,7.851,9.316,8.646,8.796,10.677,9.362,9.153,7.86,9.467,9.566,8.809,9.42,8.139,9.577,10.962,8.91,10.515,11.246,9.454,9.259,8.836,10.564,10.682,9.396,10.052,9.248,9.604,9.008,8.951,10.432,9.301,9.293,9.05,8.283,7.782,9.545,10.383,10.677,9.333,9.879,9.182,9.199,9.208,8.665,9.063,9.29,10.344,9.53,9.071,8.931,9.222,9.226,8.874,9.334,9.215,8.715,9.566,9.87,9.049,9.752,10.161,8.107,8.335,9.993,10.53,8.605,9.092,9.257,8.408,10.318,10.723,10.029,9.153,10.272,10.328,9.677,8.08,9.839,9.466,8.34,9.499,10.608,10.802,10.195,10.42,10.258,10.195,10.178,10.653,10.915,10.298,9.006,8.942,9.925,9.631,11.819,11.807
Nevada,10.118,9.542,9.305,10.043,9.572,9.785,9.84,9.232,9.479,10.543,8.834,8.775,8.954,9.972,9.822,8.84,9.123,9.64,9.547,9.186,10.427,8.882,9.032,9.378,9.992,10.67,9.778,9.958,9.475,9.283,10.13,9.062,9.552,11.73,9.666,10.416,9.59,9.797,10.458,11.018,9.698,9.647,10.385,8.802,9.469,9.776,10.096,9.063,9.108,10.393,9.677,9.452,10.198,10.42,9.036,9.774,9.608,10.79,10.393,10.242,10.14,9.85,9.973,9.036,9.417,10.145,9.931,9.88,9.978,9.791,9.27,9.804,9.74,10.163,9.146,9.83,10.32,9.768,9.914,10.265,11.072,9.058,9.862,9.385,9.31,10.857,10.355,10.404,10.073,10.056,9.985,10.801,9.274,10.46,10.546,10.862,10.328,9.61,10.326,10.847,10.878,10.498,11.275,10.457,10.357,10.466,10.845,10.222,10.205,10.033,9.771,11.32,12.633
New Hampshire,5.718,5.76,5.717,4.152,5.115,5.812,4.725,6.046,5.746,5.992,5.934,5.281,6.769,5.018,6.407,5.485,4.219,5.418,6.133,5.579,6.874,6.007,5.275,5.228,5.787,4.518,6.254,6.005,5.9,6.435,7.051,6.498,6.063,5.45,5.474,5.765,6.661,6.697,5.658,5.054,6.345,6.398,5.344,6.082,6.295,6.538,6.294,6.043,7.557,6.209,6.568,6.887,7.701,6.286,6.463,5.69,6.693,5.538,6.597,6.302,6.398,5.406,5.749,6.047,5.667,6.102,5.678,5.761,6.259,5.988,5.986,5.381,7.206,6.003,6.595,5.655,6.236,5.325,6.621,5.659,6.515,5.888,6.89,6.645,6.056,6.187,6.445,6.218,5.662,7.461,7.207,5.665,6.059,6.16,6.49,6.32,5.981,8.021,7.668,6.291,7.273,7.189,6.102,6.263,6.921,7.894,6.446,6.829,6.36,8.019,7.474,8.323,8.774
New Jersey,10.278,10.522,10.404,9.029,10.148,11.012,9.602,10.927,10.618,10.603,11.044,10.335,11.817,10.208,10.888,10.233,9.365,10.55,11.131,10.274,11.975,11.135,10.697,9.932,10.885,9.737,10.77,10.777,11.029,11.27,12.043,11.51,11.335,10.569,10.539,10.834,11.231,11.51,11.268,9.64,11.265,11.114,10.717,11.033,11.082,11.703,10.948,10.895,12.398,10.84,11.372,11.576,12.16,11.419,11.35,10.91,11.579,10.192,11.821,10.8,11.039,10.355,10.398,11.034,10.726,10.745,10.324,10.881,10.789,10.883,11.145,10.597,11.962,11.213,11.592,10.665,11.126,10.278,10.992,10.952,10.917,10.875,11.525,11.306,11.467,11.32,11.36,10.886,10.801,12.44,12.418,10.693,11.178,11.156,11.325,10.806,11.138,12.785,12.17,11.077,11.94,12.356,10.894,11.475,11.642,12.52,11.736,11.762,11.256,12.267,12.397,12.957,13.038
New Mexico,12.052,11.963,11.167,11.833,11.268,11.649,12.143,11.501,11.753,12.85,11.883,10.696,10.875,11.88,11.087,12.032,11.62,11.518,11.19,11.374,12.436,11.909,11.446,11.524,12.031,11.625,12.404,11.739,11.179,11.5,11.683,11.239,12.051,13.245,12.038,12.16,11.944,12.072,11.974,12.075,11.548,11.776,12.365,11.382,11.878,12.341,11.787,11.747,11.527,12.774,12.062,11.912,12.239,13.113,11.785,12.243,12.091,12.132,12.011,11.601,11.542,12.185,12.332,11.369,11.854,11.813,12.064,11.499,12.167,11.683,11.64,12.105,11.293,11.955,11.177,11.457,12.468,12.137,11.398,12.401,12.805,11.798,11.741,11.706,11.959,12.352,11.454,11.823,12.528,12.128,11.717,11.719,12.004,12.741,12.643,12.838,11.874,12.577,12.624,13.076,12.742,12.638,13.23,12.164,12.798,12.835,12.487,12.206,12.503,12.452,12.734,13.483,14.264
New York,7.097,7.158,7.155,5.622,6.706,7.491,6.302,7.582,7.181,7.254,7.711,6.692,8.395,6.642,7.578,7.047,5.603,7.097,7.799,6.908,8.825,7.75,6.877,6.396,7.25,5.99,7.623,7.533,7.328,7.917,8.728,8.028,7.972,7.044,6.977,7.36,7.958,8.248,7.523,6.329,7.966,7.779,6.859,7.663,7.576,8.238,7.674,7.647,9.043,7.439,7.879,8.382,9.064,7.934,8.168,7.295,8.176,6.892,8.177,7.559,7.791,7.1,7.002,7.884,7.231,7.462,7.239,7.357,7.501,7.454,7.591,6.89,8.699,7.525,8.217,6.998,7.697,6.774,7.743,7.194,7.746,7.538,8.201,7.99,7.744,7.908,8.221,7.804,7.24,9.1,9.033,7.199,7.443,7.499,8.0,7.595,7.53,9.686,8.915,7.738,8.923,8.904,7.595,7.904,8.512,9.286,8.206,8.293,7.884,9.142,9.008,9.915,9.914
North Carolina,13.813,14.565,14.351,13.607,14.332,14.898,14.429,14.876,14.71,14.384,15.505,14.404,15.289,14.417,14.606,14.799,13.592,14.686,15.227,14.139,15.958,15.346,14.979,14.088,15.37,14.734,15.357,14.618,14.901,14.919,15.544,15.755,15.994,15.063,14.973,15.029,14.935,15.62,15.692,14.136,15.292,15.145,15.018,14.959,15.413,15.641,14.638,15.24,15.969,15.112,15.156,15.43,15.819,15.414,15.132,15.41,15.521,14.125,15.436,14.388,14.823,14.632,14.157,14.906,14.995,14.284,14.413,14.439,14.289,15.084,15.19,14.859,15.358,15.359,15.517,14.383,14.967,14.489,14.586,14.786,14.35,15.121,14.725,15.141,15.464,15.79,15.09,14.439,14.952,16.554,16.095,14.933,15.239,15.384,15.119,14.728,14.945,16.436,15.81,15.1,15.649,16.012,15.272,15.621,15.661,15.864,16.218,15.533,15.305,15.355,16.119,16.32,16.544
North Dakota,4.845,4.021,3.505,3.184,4.111,4.375,2.852,4.857,3.554,5.042,3.586,3.531,4.44,4.624,4.333,2.445,2.54,4.427,3.81,4.329,5.65,4.375,4.792,3.465,4.717,4.759,3.297,5.036,3.187,5.062,6.971,4.262,5.024,6.195,4.067,3.642,3.811,5.458,5.453,4.913,5.633,4.883,4.342,4.903,3.832,4.92,4.475,4.422,4.364,2.039,2.405,5.124,5.865,5.227,4.065,4.272,4.785,5.1,4.442,4.505,5.351,4.668,5.793,4.578,3.431,3.632,4.29,4.4,4.006,3.82,4.198,3.345,5.644,4.675,4.372,5.368,5.242,3.597,3.158,5.339,6.471,3.498,5.281,5.236,3.685,5.562,7.443,6.074,4.39,6.074,5.997,5.396,3.818,4.763,4.533,2.812,5.098,6.509,6.419,5.364,5.998,5.363,5.285,5.125,6.095,6.914,5.77,4.399,3.995,5.259,5.161,7.059,6.934
Ohio,9.763,10.079,9.943,8.924,9.7,10.574,9.473,10.818,10.196,9.926,11.154,9.475,11.026,10.189,10.121,10.181,8.502,10.434,10.925,9.801,12.176,11.179,10.408,9.209,10.396,9.621,10.783,10.213,9.899,10.932,11.909,10.997,11.39,10.797,10.271,10.449,10.238,11.556,11.293,9.566,11.177,10.652,10.166,10.895,10.319,11.506,10.297,10.679,11.772,10.062,10.401,11.263,11.708,11.308,11.15,10.808,10.903,9.586,11.221,10.069,10.519,10.182,9.654,10.952,10.712,10.048,10.195,10.323,10.126,10.784,10.798,10.133,11.673,10.694,11.109,9.868,10.502,9.56,9.891,10.109,10.233,10.608,11.002,10.651,10.675,11.305,11.657,10.618,10.084,11.871,12.097,10.513,10.609,10.686,10.6,10.15,10.365,12.644,11.731,10.875,11.733,11.849,10.582,11.178,11.397,11.903,11.647,10.765,10.731,11.399,11.717,12.626,12.581
Oklahoma,15.496,15.14,14.253,15.29,14.32,14.64,15.572,15.533,15.596,15.849,16.198,14.298,15.158,15.56,14.791,15.339,14.451,15.409,14.805,14.883,16.655,15.852,15.516,14.591,15.962,15.112,15.824,15.468,14.681,15.556,16.215,15.345,16.636,16.74,15.531,15.989,15.147,16.604,16.635,14.798,15.693,15.293,15.748,15.632,15.168,16.557,15.409,15.174,15.163,15.176,15.277,16.073,16.472,17.235,15.929,16.641,15.303,15.081,15.214,14.91,14.854,15.73,16.273,15.877,16.04,15.089,15.57,14.859,15.371,15.455,15.623,15.441,15.376,15.686,15.188,15.143,16.321,15.096,14.504,16.193,16.164,15.344,14.816,15.605,15.232,16.342,15.733,15.487,14.888,16.324,16.124,15.571,14.9,15.854,15.627,15.405,15.253,17.064,16.692,16.143,16.411,15.671,15.936,16.019,16.355,17.108,15.931,15.637,15.569,16.085,16.896,17.678,17.525
Oregon,8.206,7.787,7.645,8.576,8.056,8.526,8.252,8.07,7.67,8.344,7.298,7.579,7.54,8.418,8.471,6.855,7.892,8.436,7.602,7.624,8.203,7.263,8.059,8.005,8.935,9.252,7.894,8.334,7.589,7.784,8.528,7.807,8.037,10.174,7.837,8.505,8.007,8.518,9.064,9.365,8.917,8.232,8.178,7.964,8.333,8.1,8.74,7.314,7.806,8.159,8.093,8.054,8.696,8.092,7.181,7.963,7.952,9.619,8.396,8.234,8.807,8.17,8.516,7.584,8.414,8.723,8.908,8.553,8.147,8.303,7.805,8.065,8.613,8.499,7.813,8.173,8.48,8.244,8.468,8.511,8.975,7.62,8.445,7.716,7.136,9.048,9.133,8.909,8.187,8.605,8.716,9.712,7.581,8.877,9.01,8.723,8.839,8.897,8.541,8.678,8.883,8.806,9.564,9.285,8.84,8.96,8.896,8.315,8.559,8.575,8.078,9.03,10.764
Pennsylvania,8.728,8.927,8.888,7.629,8.652,9.465,8.161,9.452,9.104,9.032,9.82,8.626,10.122,8.723,9.149,8.872,7.595,9.152,9.692,8.635,10.723,9.751,9.14,8.167,9.132,8.203,9.394,9.198,9.173,9.699,10.624,9.964,9.985,9.283,8.992,9.175,9.398,10.052,9.872,8.207,9.803,9.588,9.083,9.577,9.415,10.192,9.436,9.483,10.74,9.126,9.605,10.077,10.634,9.91,9.95,9.381,9.9,8.535,10.174,9.077,9.478,8.918,8.679,9.551,9.276,9.104,9.002,9.289,9.235,9.525,9.622,9.026,10.462,9.559,9.986,8.85,9.454,8.646,9.252,9.167,9.295,9.437,9.866,9.667,9.762,9.926,10.144,9.505,9.117,10.891,10.949,9.216,9.516,9.443,9.694,9.217,9.402,11.472,10.546,9.675,10.524,10.738,9.425,9.988,10.218,10.932,10.247,9.896,9.651,10.574,10.736,11.48,11.543
Rhode Island,8.733,9.003,8.891,7.445,8.456,9.267,8.114,9.45,9.029,9.174,9.296,8.815,10.186,8.609,9.475,8.587,7.699,8.81,9.478,8.733,10.111,9.368,8.799,8.536,9.344,8.099,9.453,9.375,9.341,9.804,10.326,9.856,9.512,8.892,8.966,9.198,9.849,9.956,9.318,8.212,9.711,9.538,8.977,9.48,9.546,9.903,9.452,9.249,10.865,9.376,9.982,10.187,10.797,9.756,9.718,9.136,10.088,8.751,10.015,9.408,9.481,8.692,9.04,9.371,9.049,9.307,8.87,9.203,9.451,9.281,9.501,8.945,10.427,9.542,10.029,9.202,9.524,8.699,9.75,9.225,9.424,9.256,10.095,9.877,9.65,9.55,9.609,9.439,9.184,10.767,10.731,9.004,9.511,9.599,9.749,9.333,9.544,11.054,10.823,9.553,10.501,10.671,9.392,9.661,10.071,10.989,10.051,10.282,9.705,11.031,10.784,11.586,11.569
South Carolina,15.899,16.768,16.429,16.031,16.613,16.903,16.938,17.146,16.947,16.56,17.823,16.607,17.305,16.631,16.896,17.19,16.139,17.068,17.555,16.406,18.068,17.665,17.196,16.439,17.786,17.102,17.844,16.794,17.142,17.043,17.702,17.957,18.175,17.267,17.295,17.299,17.114,17.809,17.896,16.345,17.497,17.273,17.13,17.161,17.648,17.803,16.854,17.453,18.044,17.354,17.372,17.593,17.872,17.757,17.365,17.637,17.631,16.373,17.491,16.588,17.0,17.056,16.482,16.983,17.219,16.408,16.72,16.499,16.414,17.24,17.355,17.198,17.46,17.65,17.708,16.505,17.229,16.874,16.818,17.052,16.705,17.51,16.772,17.372,17.68,18.223,17.26,16.665,17.244,18.791,18.116,17.095,17.439,17.582,17.405,16.993,17.226,18.639,17.953,17.323,17.895,18.146,17.394,17.796,17.73,18.012,18.379,17.677,17.516,17.403,18.297,18.554,18.736
South Dakota,7.803,6.677,6.271,6.397,6.454,6.894,6.157,7.548,6.248,7.669,7.002,6.236,7.269,7.445,6.384,5.667,5.39,7.221,6.702,6.871,8.656,6.864,7.469,6.019,7.484,7.547,6.228,7.642,5.94,7.786,9.413,6.861,8.316,9.161,7.339,6.738,6.488,8.293,8.584,7.413,8.311,7.388,7.294,7.139,6.822,8.107,7.256,7.315,7.251,5.423,5.384,7.526,8.309,8.248,7.269,7.394,7.252,7.643,7.281,6.903,7.665,7.26,8.438,7.521,6.685,6.701,7.191,7.177,6.871,6.884,6.935,6.272,8.119,8.045,7.031,8.154,7.876,6.013,6.182,8.224,8.911,6.448,7.537,7.57,6.392,8.033,9.53,8.477,7.16,8.624,8.535,7.9,6.115,7.52,7.382,5.746,7.478,8.929,9.103,8.096,8.42,8.266,8.17,8.274,8.82,9.3,8.565,6.952,6.767,7.678,7.47,9.908,9.773
Tennessee,13.029,13.866,13.421,13.364,13.569,14.02,14.081,14.518,14.215,13.514,15.12,13.272,14.666,14.073,13.998,14.067,12.748,14.207,14.638,13.557,15.657,14.948,14.242,13.215,14.924,13.913,14.974,13.714,13.948,14.353,15.033,14.702,15.127,14.549,14.34,14.499,14.075,15.114,14.828,13.153,14.812,14.186,14.253,14.516,14.319,15.041,13.851,14.331,14.936,14.028,14.311,14.813,15.094,15.13,14.627,14.879,14.871,13.331,14.524,13.46,13.931,14.234,13.604,14.375,14.555,13.67,13.936,13.572,13.657,14.177,14.476,14.209,14.795,14.5,14.56,13.317,14.259,13.62,13.466,14.248,13.969,14.456,13.962,14.423,14.296,15.18,14.912,14.037,13.91,15.483,15.294,14.14,14.202,14.479,14.412,13.917,14.065,15.936,15.421,14.701,14.885,15.106,14.431,14.941,15.077,15.169,15.723,14.452,14.437,14.685,15.237,16.014,15.912
Texas,18.031,18.326,16.903,18.096,17.236,17.556,18.627,18.246,18.511,18.632,18.742,17.236,17.429,17.692,17.703,18.463,17.896,18.086,17.404,17.641,19.205,18.477,18.079,17.626,18.574,17.787,19.03,18.061,17.765,17.956,18.243,17.816,19.273,19.245,18.43,17.966,18.157,18.897,18.823,17.635,18.009,17.933,18.312,18.158,18.454,18.821,17.882,18.276,18.085,18.75,18.685,18.525,18.957,19.447,18.646,19.048,18.337,17.696,17.839,17.799,17.71,18.634,18.658,18.353,18.561,17.703,18.444,17.486,18.274,17.838,18.494,18.242,17.821,18.279,17.876,17.35,18.692,17.879,17.4,18.554,18.543,18.336,17.625,18.378,18.175,18.788,17.855,18.149,18.102,18.834,18.383,18.151,17.977,18.797,18.61,18.697,17.901,19.608,19.383,19.238,18.83,18.504,18.756,18.58,18.955,19.59,18.338,18.712,18.833,18.499,19.718,19.926,20.425
Utah,9.006,8.373,7.624,8.483,8.095,8.282,8.845,7.639,8.001,9.461,7.97,7.35,7.609,8.552,8.193,7.639,7.566,8.323,8.163,7.774,9.231,7.856,7.614,7.764,8.5,9.126,8.621,8.618,7.839,7.838,8.617,7.657,8.354,10.608,8.711,9.125,8.351,8.762,8.948,9.653,8.374,8.301,9.326,7.811,8.214,8.866,8.713,8.012,7.747,8.844,8.111,8.078,9.001,9.536,7.75,8.748,8.385,9.481,9.066,8.829,8.626,8.718,8.985,7.645,8.21,8.778,8.49,7.96,8.747,8.443,7.979,8.757,7.81,8.643,7.508,8.5,9.27,8.674,8.094,9.027,9.854,7.842,8.596,7.662,8.152,9.394,8.83,8.854,8.902,8.949,8.332,9.143,7.944,9.476,9.205,9.45,8.702,8.716,9.226,9.761,9.656,9.074,10.03,8.989,9.327,9.241,9.664,8.631,8.83,8.804,8.437,10.249,10.985
Vermont,5.506,5.535,5.515,3.883,4.896,5.595,4.52,5.792,5.49,5.717,5.771,4.955,6.587,4.766,6.164,5.319,3.912,5.214,5.933,5.355,6.779,5.86,5.018,4.937,5.555,4.199,6.012,5.759,5.641,6.233,6.861,6.267,5.888,5.191,5.225,5.568,6.485,6.502,5.416,4.766,6.113,6.196,5.031,5.853,6.044,6.361,6.047,5.883,7.339,5.968,6.291,6.694,7.504,6.036,6.258,5.497,6.48,5.289,6.35,6.083,6.198,5.261,5.479,5.981,5.46,5.886,5.524,5.527,5.98,5.717,5.727,5.087,6.946,5.739,6.4,5.329,6.06,5.079,6.324,5.389,6.282,5.74,6.616,6.442,5.83,6.018,6.291,6.048,5.444,7.283,7.042,5.438,5.767,5.865,6.327,6.103,5.712,7.861,7.423,6.032,7.118,7.013,5.902,6.022,6.793,7.683,6.234,6.623,6.194,7.778,7.327,8.153,8.497
Virginia,12.035,12.65,12.425,11.56,12.347,13.062,12.195,12.84,12.73,12.438,13.47,12.391,13.562,12.483,12.655,12.672,11.478,12.654,13.274,12.162,14.185,13.391,12.992,11.942,13.183,12.489,13.198,12.689,12.962,13.244,13.87,13.691,13.823,13.084,12.858,13.055,12.918,13.658,13.719,12.08,13.443,13.234,13.137,13.095,13.347,13.737,12.75,13.202,14.098,13.023,13.202,13.57,14.069,13.508,13.235,13.402,13.607,12.136,13.715,12.498,12.888,12.523,12.32,13.093,13.129,12.403,12.441,12.641,12.453,13.166,13.246,12.827,13.613,13.402,13.488,12.533,13.053,12.428,12.566,12.895,12.492,13.08,12.958,13.268,13.52,13.634,13.372,12.653,12.876,14.574,14.351,12.969,13.287,13.369,13.208,12.703,13.006,14.636,13.973,13.204,13.741,14.166,13.209,13.698,13.688,14.076,14.174,13.578,13.269,13.659,14.292,14.564,14.732
Washington,7.597,7.28,7.059,7.995,7.652,8.217,7.387,7.659,6.748,7.638,6.891,7.342,6.899,7.957,8.172,6.053,7.393,8.099,6.994,7.317,7.405,6.697,7.89,7.654,8.672,8.763,7.294,7.972,6.904,7.348,8.082,7.453,7.447,9.459,7.432,7.781,7.352,8.342,8.58,8.962,8.866,8.015,7.448,8.013,7.894,7.671,8.272,6.81,7.165,6.883,7.35,7.785,8.499,7.291,6.321,7.377,7.496,9.38,7.514,7.592,8.311,7.805,8.104,7.05,8.068,8.192,8.706,7.894,7.471,7.7,7.369,7.305,7.971,8.106,7.282,7.651,7.823,7.665,7.917,7.782,8.412,7.411,8.093,7.357,6.575,8.401,8.888,8.403,7.972,8.371,8.302,9.153,7.424,8.725,8.561,7.508,8.369,9.123,8.243,7.86,8.284,8.289,9.032,9.112,8.532,8.675,8.302,7.686,8.048,8.442,7.619,8.478,10.572
West Virginia,10.145,10.689,10.524,9.806,10.436,11.286,10.316,11.156,10.893,10.534,11.766,10.306,11.653,10.602,10.773,10.826,9.451,11.001,11.509,10.272,12.5,11.702,11.071,9.918,11.206,10.448,11.421,10.713,10.906,11.353,12.178,11.771,11.904,11.313,11.045,11.172,10.966,11.939,11.903,10.209,11.559,11.312,11.049,11.337,11.306,12.038,10.963,11.419,12.349,11.044,11.302,11.828,12.24,11.682,11.511,11.456,11.777,10.139,11.854,10.556,11.067,10.777,10.211,11.314,11.386,10.569,10.783,10.737,10.645,11.438,11.358,10.949,11.977,11.485,11.725,10.462,11.082,10.452,10.628,10.808,10.604,11.407,11.238,11.467,11.496,11.836,11.833,11.044,10.881,12.588,12.59,11.132,11.408,11.38,11.287,10.841,11.047,12.893,12.189,11.466,12.024,12.365,11.359,11.934,11.98,12.23,12.28,11.478,11.411,11.723,12.429,12.877,13.029
